record type,booking id,service type,division name,run id,run pieces,run name,block number,piece number,start place,end place,sign on time of piece,start time of piece,end time of piece,clear time of piece,special trip option id,op days
51,1,2,,1107,,,121009,1,SN16,SN1496,372,372,1001,1001,,
50,1,2,,1108,1,1108,,,,,,,,,,
51,1,2,,1108,,,121009,1,SN1496,SN16,1017,1017,1387,1387,,
50,1,2,,1109,1,1109,,,,,,,,,,
51,1,2,,1109,,,111101,1,SN16,SN6775,252,252,793,793,,
50,1,2,,1110,1,1110,,,,,,,,,,
51,1,2,,1110,,,111101,1,SN3274,SN16,816,816,1209,1209,,
50,1,2,,1111,1,1111,,,,,,,,,,
51,1,2,,1111,,,120305,1,SN5943,SN16,743,743,1145,1145,,
50,1,2,,1112,1,1112,,,,,,,,,,
51,1,2,,1112,,,110204,1,SN16,SN3970,346,346,943,943,,
50,1,2,,1113,1,1113,,,,,,,,,,
51,1,2,,1113,,,121803,1,SN16,SN5731,280,280,875,875,,
50,1,2,,1114,1,1114,,,,,,,,,,
51,1,2,,1114,,,111004,1,SN16,SN655,277,277,870,870,,
50,1,2,,1115,1,1115,,,,,,,,,,
51,1,2,,1115,,,111004,1,SN655,SN16,888,888,1447,1447,,
50,1,2,,1116,1,1116,,,,,,,,,,
51,1,2,,1116,,,121902,1,SN16,SN677,253,253,789,789,,
50,1,2,,1117,1,1117,,,,,,,,,,
51,1,2,,1117,,,121902,1,SN677,SN16,803,803,1354,1354,,
50,1,2,,1118,1,1118,,,,,,,,,,
51,1,2,,1118,,,120902,1,SN16,SN2017,301,301,899,899,,
50,1,2,,1119,1,1119,,,,,,,,,,
51,1,2,,1119,,,120902,1,SN2017,SN16,909,909,1258,1258,,
50,1,2,,1120,1,1120,,,,,,,,,,
51,1,2,,1120,,,111509,1,SN16,SN5283,365,365,829,829,,
50,1,2,,1121,1,1121,,,,,,,,,,
51,1,2,,1121,,,111106,1,SN16,SN4229,323,323,775,775,,
50,1,2,,1122,1,1122,,,,,,,,,,
51,1,2,,1122,,,111106,1,SN4229,SN5943,790,790,1207,1207,,
50,1,2,,1123,1,1123,,,,,,,,,,
51,1,2,,1123,,,120306,1,SN1571,SN5943,751,751,1127,1127,,
50,1,2,,1124,1,1124,,,,,,,,,,
51,1,2,,1124,,,120306,1,SN5943,SN16,1141,1141,1568,1568,,
50,1,2,,1125,1,1125,,,,,,,,,,
51,1,2,,1125,,,120603,1,SN6479,SN16,809,809,1335,1335,,
50,1,2,,1126,1,1126,,,,,,,,,,
51,1,2,,1126,,,120603,1,SN16,SN6479,203,203,787,787,,
50,1,2,,1127,1,1127,,,,,,,,,,
51,1,2,,1127,,,110601,1,SN5475,SN20015,558,558,1166,1166,,
50,1,2,,1128,1,1128,,,,,,,,,,
51,1,2,,1128,,,121804,1,SN3872,SN16,932,932,1444,1444,,
50,1,2,SIMM FX,1129,1,1129,,,,,,,,,,
51,1,2,SIMM FX,1129,,,121804,1,SN16,SN3872,321,321,919,919,,
50,1,2,,1130,1,1130,,,,,,,,,,
51,1,2,,1130,,,120620,1,SN16,SN16,470,470,1103,1103,,
50,1,2,,1131,1,1131,,,,,,,,,,
51,1,2,,1131,,,120611,1,SN16,SN6479,336,336,968,968,,
50,1,2,,1132,1,1132,,,,,,,,,,
51,1,2,,1132,,,120619,1,SN2182,SN16,715,715,1159,1159,,
50,1,2,,1133,1,1133,,,,,,,,,,
51,1,2,,1133,,,121905,1,SN16,SN5441,357,357,850,850,,
50,1,2,,1134,1,1134,,,,,,,,,,
51,1,2,,1134,,,121905,1,SN5441,SN16,860,860,1202,1202,,
50,1,2,,1135,1,1135,,,,,,,,,,
51,1,2,,1135,,,120903,1,SN16,SN5885,344,344,787,787,,
50,1,2,,1136,1,1136,,,,,,,,,,
51,1,2,,1136,,,111506,1,SN16,SN677,309,309,868,868,,
50,1,2,,1137,1,1137,,,,,,,,,,
51,1,2,,1137,,,111010,1,SN655,SN16,1031,1031,1395,1395,,
50,1,2,,1138,1,1138,,,,,,,,,,
51,1,2,,1138,,,110109,1,SN16,SN677,301,301,784,784,,
50,1,2,,1139,1,1139,,,,,,,,,,
51,1,2,,1139,,,110109,1,SN677,SN5441,794,794,1270,1270,,
50,1,2,,1140,1,1140,,,,,,,,,,
51,1,2,,1140,,,112106,1,SN6542,SN16,870,870,1227,1227,,
50,1,2,,1141,1,1141,,,,,,,,,,
51,1,2,,1141,,,120307,1,SN16,SN1571,292,292,758,758,,
50,1,2,,1142,1,1142,,,,,,,,,,
51,1,2,,1142,,,120307,1,SN1571,SN16,771,771,1398,1398,,
50,1,2,,1143,1,1143,,,,,,,,,,
51,1,2,,1143,,,120602,1,SN6479,SN16,1151,1151,1527,1527,,
50,1,2,,1144,1,1144,,,,,,,,,,
51,1,2,,1144,,,120602,1,SN16,SN6479,143,143,703,703,,
50,1,2,,1145,1,1145,,,,,,,,,,
51,1,2,,1145,,,120602,1,SN6479,SN6479,730,730,1138,1138,,
50,1,2,,1146,1,1146,,,,,,,,,,
51,1,2,,1146,,,121504,1,SN16,SN3419,375,375,902,902,,
50,1,2,,1147,1,1147,,,,,,,,,,
51,1,2,,1147,,,121504,1,SN3419,SN16,905,905,1333,1333,,
50,1,2,,1148,1,1148,,,,,,,,,,
51,1,2,,1148,,,120611,1,SN6479,SN16,989,989,1557,1557,,
50,1,2,,1149,1,1149,,,,,,,,,,
51,1,2,,1149,,,120803,1,SN16,SN6144,296,296,760,760,,
50,1,2,SIMM FX,1150,1,1150,,,,,,,,,,
51,1,2,SIMM FX,1150,,,121805,1,SN16,SN3872,332,332,859,859,,
50,1,2,,1151,1,1151,,,,,,,,,,
51,1,2,,1151,,,111510,1,SN5283,SN16,926,926,1384,1384,,
50,1,2,,1152,1,1152,,,,,,,,,,
