record type,booking id,service type,block number,route,logon block id,start time,end time,start place,end place,garage,block name,preferred bus series 1
10,1,1,150,209,150,21120,73920,SN16,SN16,SN16,150,Bus
10,1,1,151,209,151,20580,74880,SN16,SN16,SN16,151,Bus
10,1,1,152,210,152,6240,83220,SN16,SN16,SN16,152,Bus
10,1,1,153,210,153,6600,91620,SN16,SN16,SN16,153,Bus
10,1,1,154,210,154,16380,92580,SN16,SN16,SN16,154,Bus
10,1,1,155,210,155,17640,86820,SN16,SN16,SN16,155,Bus
10,1,1,156,210,156,19740,94020,SN16,SN16,SN16,156,Bus
10,1,1,157,210,157,19860,84480,SN16,SN16,SN16,157,Bus
10,1,1,158,210,158,23160,68880,SN16,SN16,SN16,158,Bus
10,1,1,159,210,159,32700,96960,SN16,SN16,SN16,159,Bus
10,1,1,160,212,160,16440,94260,SN19,SN19,SN19,160,Bus
10,1,1,161,212,161,14700,84360,SN19,SN19,SN19,161,Bus
10,1,1,162,212,162,16920,91920,SN19,SN19,SN19,162,Bus
10,1,1,163,212,163,37080,73860,SN19,SN19,SN19,163,Bus
10,1,1,164,212,164,37740,91140,SN19,SN19,SN19,164,Bus
10,1,1,165,212,165,39480,92640,SN19,SN19,SN19,165,Bus
10,1,1,166,214,166,22320,72960,SN16,SN16,SN16,166,Bus
10,1,1,167,215,167,16080,90480,SN16,SN16,SN16,167,Bus
10,1,1,168,215,168,15960,96660,SN16,SN16,SN16,168,Bus
10,1,1,169,217,169,15060,95640,SN19,SN19,SN19,169,Bus
10,1,1,170,217,170,18120,88500,SN19,SN19,SN19,170,Bus
10,1,1,171,217,171,21240,87900,SN19,SN19,SN19,171,Bus
10,1,1,172,217,172,78300,94620,SN19,SN19,SN19,172,Bus
10,1,1,173,218,173,16800,93480,SN16,SN16,SN16,173,Bus
10,1,1,174,218,174,16800,92940,SN16,SN16,SN16,174,Bus
10,1,1,175,218,175,40680,66720,SN16,SN16,SN16,175,Bus
10,1,1,176,219,176,17580,98460,SN16,SN16,SN16,176,Bus
10,1,1,177,219,177,20940,93480,SN16,SN16,SN16,177,Bus
10,1,1,178,219,178,20760,75420,SN16,SN16,SN16,178,Bus
10,1,1,179,220,179,15720,63960,SN16,SN16,SN16,179,Bus
10,1,1,180,220,180,16080,91500,SN16,SN16,SN16,180,Bus
10,1,1,181,220,181,19080,91140,SN16,SN16,SN16,181,Bus
10,1,1,182,220,182,51240,88380,SN16,SN16,SN16,182,Bus
10,1,1,183,221,183,19620,88440,SN19,SN19,SN19,183,Bus
10,1,1,184,221,184,18780,90060,SN19,SN19,SN19,184,Bus
10,1,1,185,221,185,17640,87480,SN19,SN19,SN19,185,Bus
10,1,1,186,221,186,16800,81360,SN19,SN19,SN19,186,Bus
10,1,1,187,221,187,17580,90180,SN19,SN19,SN19,187,Bus
10,1,1,188,301,188,9000,86760,SN19,SN19,SN19,188,Bus
10,1,1,189,301,189,10200,87540,SN19,SN19,SN19,189,Bus
10,1,1,190,301,190,9720,73800,SN19,SN19,SN19,190,Bus
10,1,1,191,301,191,11400,33840,SN19,SN19,SN19,191,Bus
10,1,1,192,301,192,10920,82260,SN19,SN19,SN19,192,Bus
10,1,1,193,301,193,12600,82200,SN19,SN19,SN19,193,Bus
10,1,1,194,301,194,20880,92280,SN19,SN19,SN19,194,Bus
10,1,1,195,301,195,21660,89040,SN19,SN19,SN19,195,Bus
10,1,1,196,301,196,31260,99420,SN19,SN19,SN19,196,Bus
10,1,1,197,301,197,31260,98700,SN19,SN19,SN19,197,Bus
10,1,1,198,301,198,32580,89820,SN19,SN19,SN19,198,Bus
10,1,1,199,301,199,33180,89340,SN19,SN19,SN19,199,Bus
10,1,1,200,301,200,37440,92580,SN19,SN19,SN19,200,Bus
10,1,1,201,301,201,38880,87240,SN19,SN19,SN19,201,Bus
10,1,1,202,301,202,41880,96060,SN19,SN19,SN19,202,Bus
10,1,1,203,301,203,43020,97500,SN19,SN19,SN19,203,Bus
10,1,1,204,301,204,73680,98220,SN19,SN19,SN19,204,Bus
10,1,1,205,301,205,33900,97020,SN19,SN19,SN19,205,Bus
10,1,1,206,401,206,40320,65760,SN19,SN19,SN19,206,Bus
10,1,1,207,401,207,42060,69000,SN19,SN19,SN19,207,Bus
10,1,1,208,503,208,4980,91380,SN19,SN19,SN19,208,Bus
10,1,1,209,503,209,8400,96420,SN19,SN19,SN19,209,Bus
10,1,1,210,503,210,12000,96300,SN19,SN19,SN19,210,Bus
10,1,1,211,503,211,14760,83400,SN19,SN19,SN19,211,Bus
10,1,1,212,503,212,15360,93060,SN19,SN19,SN19,212,Bus
10,1,1,213,503,213,17580,87960,SN19,SN19,SN19,213,Bus
10,1,1,214,503,214,18840,92700,SN19,SN19,SN19,214,Bus
10,1,1,215,503,215,21240,98460,SN19,SN19,SN19,215,Bus
10,1,1,216,503,216,20580,92100,SN19,SN19,SN19,216,Bus
10,1,1,217,503,217,32280,79440,SN19,SN19,SN19,217,Bus
10,1,1,218,504,218,1560,91500,SN19,SN19,SN19,218,Bus
10,1,1,219,504,219,5160,82800,SN19,SN19,SN19,219,Bus
10,1,1,220,504,220,17580,81840,SN19,SN19,SN19,220,Bus
10,1,1,221,504,221,18660,88080,SN19,SN19,SN19,221,Bus
10,1,1,222,504,222,19200,93600,SN19,SN19,SN19,222,Bus
10,1,1,223,504,223,22440,88320,SN19,SN19,SN19,223,Bus
10,1,1,224,504,224,24420,89880,SN19,SN19,SN19,224,Bus
10,1,1,225,504,225,24780,80400,SN19,SN19,SN19,225,Bus
10,1,1,226,901,226,17400,85740,SN16,SN16,SN16,226,Bus
10,1,1,227,901,227,19800,87240,SN16,SN16,SN16,227,Bus
10,1,1,228,904,228,17160,89640,SN16,SN16,SN16,228,Bus
10,1,1,229,904,229,20640,99960,SN16,SN16,SN16,229,Bus
10,1,1,230,904,230,24000,80820,SN16,SN16,SN16,230,Bus
10,1,1,231,904,231,14520,72000,SN16,SN16,SN16,231,Bus
10,1,1,232,904,232,77820,93300,SN16,SN16,SN16,232,Bus
