record type,booking id,direction num,direction name,route id,route variant,sequence num,total sequence num,from timepoint name,to timepoint name,from longitude,from latitude,to longitude,to latitude,from stop name,to stop name,from timepoint id,to timepoint id,from stop id,to stop id
80,1,0,OUTBOUND,101,-,43,56,SN2210,,-115.241887,36.196526,-115.242182,36.200016,SN2210,SN3219,2210,0,2210,3219
80,1,0,OUTBOUND,101,-,44,56,,,-115.242182,36.200016,-115.242182,36.20407,SN3219,SN2231,0,0,3219,2231
80,1,0,OUTBOUND,101,-,45,56,,,-115.242182,36.20407,-115.242183,36.207435,SN2231,SN2261,0,0,2231,2261
80,1,0,OUTBOUND,101,-,46,56,,,-115.242183,36.207435,-115.242185,36.211327,SN2261,SN2223,0,0,2261,2223
80,1,0,OUTBOUND,101,-,47,56,,,-115.242185,36.211327,-115.242193,36.216703,SN2223,SN2213,0,0,2223,2213
80,1,0,OUTBOUND,101,-,48,56,,SN2188,-115.242193,36.216703,-115.242195,36.218605,SN2213,SN2188,0,2188,2213,2188
80,1,0,OUTBOUND,101,-,49,56,SN2188,,-115.242195,36.218605,-115.242199,36.222372,SN2188,SN2185,2188,0,2188,2185
80,1,0,OUTBOUND,101,-,50,56,,,-115.242199,36.222372,-115.242213,36.225985,SN2185,SN2204,0,0,2185,2204
80,1,0,OUTBOUND,101,-,51,56,,,-115.242213,36.225985,-115.242215,36.230275,SN2204,SN2226,0,0,2204,2226
80,1,0,OUTBOUND,101,-,52,56,,,-115.242215,36.230275,-115.242191,36.233559,SN2226,SN2179,0,0,2226,2179
80,1,0,OUTBOUND,101,-,53,56,,,-115.242191,36.233559,-115.242146,36.23688,SN2179,SN2257,0,0,2179,2257
80,1,0,OUTBOUND,101,-,54,56,,,-115.242146,36.23688,-115.242134,36.241206,SN2257,SN5690,0,0,2257,5690
80,1,0,OUTBOUND,101,-,55,56,,,-115.242134,36.241206,-115.242116,36.244395,SN5690,SN5691,0,0,5690,5691
80,1,0,OUTBOUND,101,-,56,56,,SN5441,-115.242116,36.244395,-115.241333,36.247622,SN5691,SN5441,0,5441,5691,5441
80,1,1,INBOUND,101,A,1,52,SN1618,,-115.241129,36.247885,-115.242348,36.243418,SN1618,SN2225,1618,0,1618,2225
80,1,1,INBOUND,101,A,2,52,,,-115.242348,36.243418,-115.242358,36.239584,SN2225,SN2178,0,0,2225,2178
