place name,place description,longitude,latitude
SN2024,EB Owens after Pecos,-115.097759,36.18802
SN2025,WB Owens after Pecos,-115.099029,36.188238
SN2043,SB Palm after Charleston,-115.101221,36.158112
SN2059,SB Paradise after Desert Inn,-115.154991,36.128798
SN2061,SB Paradise after Flamingo,-115.153908,36.113658
SN2069,SB Paradise after Sahara,-115.154935,36.142296
SN2072,SB Paradise before Tropicana,-115.150364,36.102179
SN2096,NB Pecos after Charleston,-115.100908,36.15933
SN2101,NB Pecos before Flamingo,-115.100709,36.114447
SN2111,NB Pecos after Las Vegas,-115.098408,36.21532
SN2112,NB Pecos after Lake Mead,-115.098249,36.196539
SN2113,SB Pecos after Lake Mead,-115.098509,36.19514
SN2114,SB Pecos after Las Vegas,-115.098702,36.213893
SN2136,NB Pecos after Sunset,-115.1007,36.07288
SN2139,NB Pecos after Tropicana,-115.100879,36.100669
SN2140,SB Pecos after Tropicana,-115.101184,36.099406
SN2181,NB Rainbow after Alta,-115.244102,36.166941
SN2182,SB Rainbow after Alta,-115.244469,36.165939
SN2186,NB Rainbow after Charleston,-115.243566,36.159959
SN2187,SB Rainbow after Charleston,-115.243867,36.158408
SN2188,NB Rainbow after Cheyenne,-115.242195,36.218605
SN2189,SB Rainbow after Cheyenne,-115.24243,36.217347
SN2200,NB Rainbow after Flamingo,-115.242793,36.115383
SN2201,SB Rainbow after Flamingo,-115.243129,36.113531
SN2210,NB Rainbow after Lake Mead,-115.241887,36.196526
SN2211,SB Rainbow after Lake Mead,-115.242406,36.194403
SN2228,NB Rainbow after Sahara,-115.242798,36.145465
SN2229,SB Rainbow after Sahara,-115.24309,36.14347
SN2234,NB Rainbow after Spring Mountain,-115.24282,36.126945
SN2235,SB Rainbow after Spring Mountain,-115.243152,36.124646
SN2245,SB Rainbow after Tropicana,-115.243239,36.098852
SN2252,NB Rainbow after Washington,-115.242153,36.181579
SN2253,SB Rainbow after Washington,-115.242479,36.180135
SN2263,SB Rampart after Cheyenne,-115.27895,36.21826
SN2265,NB Rampart after Lake Mead,-115.281369,36.200609
SN2279,NB Rancho after Charleston,-115.172637,36.159608
SN2281,NB Rancho after Cheyenne,-115.212344,36.217601
SN2282,SB Rancho after Cheyenne,-115.211824,36.216615
SN2303,NB Rancho after Lake Mead,-115.19685,36.200648
SN2304,SB Rancho after Lake Mead,-115.19621,36.199411
SN2306,SB Rancho after Lone Mountain,-115.239814,36.247256
SN2333,NB Rancho after Washington,-115.17952,36.181615
SN2334,SB Rancho after Washington,-115.178995,36.180659
SN2374,EB Rossmoyne after Revere,-115.15121,36.20865
SN2402,EB Sahara after Decatur,-115.20744,36.144374
SN2404,WB Sahara after Decatur,-115.208779,36.144679
SN2417,WB Sahara after Fremont,-115.102156,36.145385
SN2418,EB Sahara after Fort Apache,-115.297009,36.144236
SN2419,EB Sahara before Boulder,-115.101753,36.145306
SN2439,EB Sahara after Maryland,-115.13649,36.1441
SN2441,WB Sahara after Maryland,-115.138199,36.144354
SN2447,EB Sahara after Nellis,-115.06482,36.144199
SN2453,EB Sahara before Rancho,-115.174764,36.144108
SN2456,EB Sahara after Rainbow,-115.241914,36.143995
SN2457,WB Sahara after Rainbow,-115.243591,36.144297
SN2458,WB Sahara after Rancho,-115.174593,36.144479
SN2473,WB Sahara after Sloan,-115.047918,36.144711
SN2506,EB Sands after Las Vegas,-115.168441,36.125149
SN2524,SB Simmons after Craig,-115.180307,36.238629
SN2539,WB Smoke Ranch after Rainbow,-115.242731,36.203484
SN2558,EB Spring Mountain after Decatur,-115.206621,36.126198
SN2559,WB Spring Mountain after Decatur,-115.20883,36.12634
SN2572,WB Spring Mountain after Las Vegas,-115.170513,36.125696
SN2579,EB Spring Mountain after Rainbow,-115.242227,36.125631
SN2580,WB Spring Mountain after Rainbow,-115.244505,36.125795
SN2605,NB Stephanie after Sunset,-115.046007,36.065857
SN2606,SB Stephanie after Sunset,-115.04633,36.063059
SN2621,WB Stewart after 6th,-115.138504,36.171383
SN2630,EB Stewart after Eastern,-115.114564,36.166402
SN2631,WB Stewart after Eastern,-115.11622,36.166647
SN2644,EB Stewart after Nellis,-115.061552,36.166441
SN2645,WB Stewart after Nellis,-115.062836,36.166629
SN2648,EB Stewart after Pecos,-115.097669,36.166024
SN2649,WB Stewart after Pecos,-115.098787,36.166257
SN2670,EB Sunset after Eastern,-115.117697,36.071459
SN2671,WB Sunset after Eastern,-115.11945,36.07177
SN2680,EB Sunset after Green Valley,-115.081219,36.07077
SN2681,WB Sunset after Green Valley,-115.083296,36.071016
SN2694,EB Sunset after Pecos,-115.099704,36.071435
SN2704,WB Sunset after Stephanie,-115.046736,36.06384
SN2705,EB Sunset before Stephanie,-115.047958,36.063528
SN2717,NB University Ctr after Flamingo,-115.146229,36.115853
SN2725,NB University Ctr after Tropicana,-115.145872,36.101584
SN2733,NB Tenaya before Cheyenne,-115.251008,36.216339
SN2758,NB Torrey Pines after Lake Mead,-115.232967,36.196633
SN2759,SB Torrey Pines after Lake Mead,-115.233191,36.195386
SN2770,NB Town Ctr before Covington Cross,-115.310943,36.182812
SN2793,EB Tropicana before Decatur,-115.208537,36.100718
SN2795,WB Tropicana after Decatur,-115.208867,36.100979
SN2812,EB Tropicana after Las Vegas,-115.170776,36.100731
SN2813,WB Tropicana after Las Vegas,-115.17449,36.101017
SN2815,EB Tropicana after Maryland,-115.136088,36.100789
SN2816,WB Tropicana after Maryland,-115.138138,36.101128
SN2827,EB Tropicana after Nellis,-115.06326,36.100139
SN2828,WB Tropicana after Nellis,-115.06486,36.100388
SN2835,EB Tropicana after Pecos,-115.100088,36.099918
SN2836,WB Tropicana after Pecos,-115.102129,36.100168
SN2838,EB Tropicana after Rainbow,-115.241679,36.099679
SN2839,WB Tropicana after Rainbow,-115.244119,36.099958
SN2879,WB Twain after Maryland,-115.138971,36.12228
SN2893,NB Utah before Northridge,-114.825897,35.973668
SN2919,NB Valley View after Charleston,-115.192356,36.159601
SN2920,SB Valley View after Charleston,-115.192578,36.158362
SN2932,SB Valley View after Meadows,-115.192727,36.169602
SN2937,NB Valley View after Sahara,-115.190663,36.145519
SN2944,NB Valley View after Spring Mtn,-115.190085,36.127692
SN2945,SB Valley View after Spring Mtn,-115.190341,36.12601
SN2964,EB Vegas after Decatur,-115.20537,36.1881
SN2965,WB Vegas after Decatur,-115.207196,36.188285
SN2972,WB Vegas after Martin L King,-115.161596,36.188616
SN2978,EB Vegas before Rainbow,-115.242615,36.188537
SN2979,WB Vegas before Rainbow,-115.241048,36.188708
SN2980,EB Vegas after Rancho,-115.185197,36.188389
SN2981,WB Vegas after Rancho,-115.187035,36.188611
SN3029,EB Warm Sprngs at LV Prm Outlets-So,-115.169487,36.056788
SN3036,EB Warm Springs after Eastern,-115.117239,36.056758
SN3037,WB Warm Springs after Eastern,-115.11931,36.057108
SN3040,EB Warm Springs after Green Valley,-115.083209,36.056328
SN3041,WB Warm Springs after Green Valley,-115.085088,36.05667
SN3051,EB Warm Springs after Paradise,-115.140469,36.057179
SN3052,WB Warm Springs after Paradise,-115.142505,36.057369
SN3061,EB Warm Springs after Stephanie,-115.045818,36.056078
SN3062,WB Warm Springs after Stephanie,-115.046859,36.056359
SN3090,WB Washington before Decatur,-115.20558,36.181053
SN3091,EB Washington after Decatur,-115.205527,36.180853
SN3105,EB Washington after Jones,-115.223207,36.180684
SN3106,WB Washington after Jones,-115.224311,36.180848
SN3111,EB Washington after Martin L King,-115.16042,36.180779
SN3112,WB Washington after Martin L King,-115.161986,36.18096
SN3123,EB Washington after Nellis,-115.061667,36.181337
SN3124,WB Washington after Nellis,-115.063208,36.181519
SN3128,EB Washington after Pecos,-115.097688,36.180779
SN3129,WB Washington after Pecos,-115.099129,36.18108
SN3131,EB Washington after Rainbow,-115.241628,36.181138
SN3132,EB Washington after Rancho,-115.178228,36.180987
SN3133,WB Washington before Rancho,-115.178893,36.181175
SN3142,WB Washington before Rainbow,-115.241706,36.181348
SN3217,NB Rainbow after Tropicana,-115.242915,36.100325
SN3226,SB Decatur after Tropicana,-115.208151,36.100217
SN3262,SB Eastern after Serene,-115.118814,36.019902
SN3263,NB Pecos after Windmill,-115.100139,36.04287
SN3274,SB Pecos after Craig,-115.097451,36.239412
SN3301,NB Green Valley after Warm Springs,-115.084439,36.057419
SN3369,WB Sahara after Fort Apache,-115.29853,36.144571
