12/05/21
December 5, 2021 (OS-47186)
Run_id,Block_id,Block_no,PassingTime,DayMap,TimePointID,Trip_id,Trip_no,Route,Var,Trip Direction,ScheduleType,TripType,TripPatternID,WorkID2,WorkID1,GarageID,Garage Name,Original DayMap,,Division
00002,0043,100043,34080,,4000822,10,10,35,,Southbound,Wkdy,Revenue,SMain,0000002,,3000,,,,3000
00002,0043,100043,35340,,4000822,11,11,35,,Northbound,Wkdy,Revenue,NMain,0000002,,3000,,,,3000
00002,0043,100043,35820,,4000063,11,11,35,,Northbound,Wkdy,Revenue,NMain,0000002,,3000,,,,3000
00002,0043,100043,36360,,4000576,11,11,35,,Northbound,Wkdy,Revenue,NMain,0000002,,3000,,,,3000
00002,0043,100043,37200,,4000299,11,11,35,,Northbound,Wkdy,Revenue,NMain,0000002,,3000,,,,3000
00002,0043,100043,37620,,4001022,11,11,35,,Northbound,Wkdy,Revenue,NMain,0000002,,3000,,,,3000
00002,0043,100043,37620,,4001022,11,11,35,,Northbound,Wkdy,Revenue,NMain,0000002,,3000,,,,3000
00002,0043,100043,37740,,4000340,11,11,35,,Northbound,Wkdy,Revenue,NMain,0000002,,3000,,,,3000
00002,0043,100043,38160,,4000715,11,11,35,,Northbound,Wkdy,Revenue,NMain,0000002,,3000,,,,3000
00002,0043,100043,38880,,6000930,11,11,35,,Northbound,Wkdy,Revenue,NMain,0000002,,3000,,,,3000
00002,0043,100043,40140,,6000930,12,12,35,,Southbound,Wkdy,Revenue,SMain,0000002,,3000,,,,3000
00002,0043,100043,40800,,4000716,12,12,35,,Southbound,Wkdy,Revenue,SMain,0000002,,3000,,,,3000
00002,0043,100043,41160,,4000360,12,12,35,,Southbound,Wkdy,Revenue,SMain,0000002,,3000,,,,3000
00002,0043,100043,41400,,4001018,12,12,35,,Southbound,Wkdy,Revenue,SMain,0000002,,3000,,,,3000
00003,0005,100005,16200,,3000,77779,77779,,,,Wkdy,Pull-Out,,0000003,,3000,,,,3000
00003,0005,100005,17100,,4001119,77779,77779,,,,Wkdy,Pull-Out,,0000003,,3000,,,,3000
00003,0005,100005,17100,,4001119,13,13,30,,Westbound,Wkdy,Revenue,WStart,0000003,,3000,,,,3000
00003,0005,100005,17460,,4000058,13,13,30,,Westbound,Wkdy,Revenue,WStart,0000003,,3000,,,,3000
00003,0005,100005,17700,,4000122,13,13,30,,Westbound,Wkdy,Revenue,WStart,0000003,,3000,,,,3000
00003,0005,100005,18180,,4000576,13,13,30,,Westbound,Wkdy,Revenue,WStart,0000003,,3000,,,,3000
00003,0005,100005,18600,,4000734,13,13,30,,Westbound,Wkdy,Revenue,WStart,0000003,,3000,,,,3000
00003,0005,100005,18900,,4000821,13,13,30,,Westbound,Wkdy,Revenue,WStart,0000003,,3000,,,,3000
00003,0005,100005,20100,,4000821,14,14,30,,Eastbound,Wkdy,Revenue,EFlMn,0000003,,3000,,,,3000
00003,0005,100005,20400,,4000052,14,14,30,,Eastbound,Wkdy,Revenue,EFlMn,0000003,,3000,,,,3000
00003,0005,100005,20880,,4000576,14,14,30,,Eastbound,Wkdy,Revenue,EFlMn,0000003,,3000,,,,3000
00003,0005,100005,21360,,4000120,14,14,30,,Eastbound,Wkdy,Revenue,EFlMn,0000003,,3000,,,,3000
00003,0005,100005,21660,,4000061,14,14,30,,Eastbound,Wkdy,Revenue,EFlMn,0000003,,3000,,,,3000
00003,0005,100005,22260,,4001123,14,14,30,,Eastbound,Wkdy,Revenue,EFlMn,0000003,,3000,,,,3000
00003,0005,100005,22260,,4001123,14,14,30,,Eastbound,Wkdy,Revenue,EFlMn,0000003,,3000,,,,3000
00003,0005,100005,22740,,4000743,14,14,30,,Eastbound,Wkdy,Revenue,EFlMn,0000003,,3000,,,,3000
00003,0005,100005,23340,,4000598,14,14,30,,Eastbound,Wkdy,Revenue,EFlMn,0000003,,3000,,,,3000
00003,0005,100005,24360,,4000598,15,15,30,,Westbound,Wkdy,Revenue,WFlMn,0000003,,3000,,,,3000
00003,0005,100005,24840,,4000820,15,15,30,,Westbound,Wkdy,Revenue,WFlMn,0000003,,3000,,,,3000
00003,0005,100005,25500,,4001119,15,15,30,,Westbound,Wkdy,Revenue,WFlMn,0000003,,3000,,,,3000
00003,0005,100005,25500,,4001119,15,15,30,,Westbound,Wkdy,Revenue,WFlMn,0000003,,3000,,,,3000
00003,0005,100005,25860,,4000058,15,15,30,,Westbound,Wkdy,Revenue,WFlMn,0000003,,3000,,,,3000
00003,0005,100005,26160,,4000122,15,15,30,,Westbound,Wkdy,Revenue,WFlMn,0000003,,3000,,,,3000
00003,0005,100005,26760,,4000576,15,15,30,,Westbound,Wkdy,Revenue,WFlMn,0000003,,3000,,,,3000
00003,0005,100005,27240,,4000734,15,15,30,,Westbound,Wkdy,Revenue,WFlMn,0000003,,3000,,,,3000
00003,0005,100005,27720,,4000821,15,15,30,,Westbound,Wkdy,Revenue,WFlMn,0000003,,3000,,,,3000
00003,0005,100005,27720,,4000821,77780,77780,,,,Wkdy,DeadHead,,0000003,,3000,,,,3000
00003,0005,100005,28920,,4001119,77780,77780,,,,Wkdy,DeadHead,,0000003,,3000,,,,3000
00003,0005,100005,29700,,4001119,16,16,30,,Westbound,Wkdy,Revenue,WShMF,0000003,,3000,,,,3000
00003,0005,100005,30060,,4000058,16,16,30,,Westbound,Wkdy,Revenue,WShMF,0000003,,3000,,,,3000
00003,0005,100005,30360,,4000122,16,16,30,,Westbound,Wkdy,Revenue,WShMF,0000003,,3000,,,,3000
00003,0005,100005,30960,,4000576,16,16,30,,Westbound,Wkdy,Revenue,WShMF,0000003,,3000,,,,3000
00003,0005,100005,30960,,4000576,77781,77781,,,,Wkdy,DeadHead,,0000003,,3000,,,,3000
00003,0005,100005,31560,,4000052,77781,77781,,,,Wkdy,DeadHead,,0000003,,3000,,,,3000
00003,0005,100005,32100,,4000052,17,17,30,,Eastbound,Wkdy,Revenue,EShAM,0000003,,3000,,,,3000
00003,0005,100005,32580,,4000576,17,17,30,,Eastbound,Wkdy,Revenue,EShAM,0000003,,3000,,,,3000
00003,0005,100005,33060,,4000120,17,17,30,,Eastbound,Wkdy,Revenue,EShAM,0000003,,3000,,,,3000
00003,0005,100005,33360,,4000061,17,17,30,,Eastbound,Wkdy,Revenue,EShAM,0000003,,3000,,,,3000
00003,0005,100005,34140,,4001123,17,17,30,,Eastbound,Wkdy,Revenue,EShAM,0000003,,3000,,,,3000
00003,0005,100005,35220,,4001124,18,18,32,,Westbound,Wkdy,Revenue,WFlMn,0000003,,3000,,,,3000
00003,0005,100005,35700,,4000496,18,18,32,,Westbound,Wkdy,Revenue,WFlMn,0000003,,3000,,,,3000
00003,0005,100005,36180,,4000483,18,18,32,,Westbound,Wkdy,Revenue,WFlMn,0000003,,3000,,,,3000
00003,0005,100005,36660,,4000677,18,18,32,,Westbound,Wkdy,Revenue,WFlMn,0000003,,3000,,,,3000
00003,0005,100005,37140,,4000576,18,18,32,,Westbound,Wkdy,Revenue,WFlMn,0000003,,3000,,,,3000
00003,0005,100005,37980,,4000576,19,19,32,,Eastbound,Wkdy,Revenue,EFlMn,0000003,,3000,,,,3000
00003,0005,100005,38160,,4000690,19,19,32,,Eastbound,Wkdy,Revenue,EFlMn,0000003,,3000,,,,3000
00003,0005,100005,38460,,4000091,19,19,32,,Eastbound,Wkdy,Revenue,EFlMn,0000003,,3000,,,,3000
00003,0005,100005,39120,,4000483,19,19,32,,Eastbound,Wkdy,Revenue,EFlMn,0000003,,3000,,,,3000
00003,0005,100005,39660,,4000495,19,19,32,,Eastbound,Wkdy,Revenue,EFlMn,0000003,,3000,,,,3000
00003,0005,100005,40080,,4001124,19,19,32,,Eastbound,Wkdy,Revenue,EFlMn,0000003,,3000,,,,3000
00004,44_1,44_1,15840,,3000,77782,77782,,,,Wkdy,Pull-Out,,0000004,,3000,,,,3000
00004,44_1,44_1,17340,,6000930,77782,77782,,,,Wkdy,Pull-Out,,0000004,,3000,,,,3000
00004,44_1,44_1,17340,,6000930,20,20,35,,Southbound,Wkdy,Revenue,SMain,0000004,,3000,,,,3000
00004,44_1,44_1,18000,,4000716,20,20,35,,Southbound,Wkdy,Revenue,SMain,0000004,,3000,,,,3000
00004,44_1,44_1,18360,,4000360,20,20,35,,Southbound,Wkdy,Revenue,SMain,0000004,,3000,,,,3000
00004,44_1,44_1,18600,,4001018,20,20,35,,Southbound,Wkdy,Revenue,SMain,0000004,,3000,,,,3000
00004,44_1,44_1,18600,,4001018,20,20,35,,Southbound,Wkdy,Revenue,SMain,0000004,,3000,,,,3000
00004,44_1,44_1,19020,,4000301,20,20,35,,Southbound,Wkdy,Revenue,SMain,0000004,,3000,,,,3000
00004,44_1,44_1,19980,,4000576,20,20,35,,Southbound,Wkdy,Revenue,SMain,0000004,,3000,,,,3000
00004,44_1,44_1,20340,,4000142,20,20,35,,Southbound,Wkdy,Revenue,SMain,0000004,,3000,,,,3000
00004,44_1,44_1,20880,,4000822,20,20,35,,Southbound,Wkdy,Revenue,SMain,0000004,,3000,,,,3000
00004,44_1,44_1,22140,,4000822,21,21,35,,Northbound,Wkdy,Revenue,NMain,0000004,,3000,,,,3000
00004,44_1,44_1,22620,,4000063,21,21,35,,Northbound,Wkdy,Revenue,NMain,0000004,,3000,,,,3000
00004,44_1,44_1,23040,,4000576,21,21,35,,Northbound,Wkdy,Revenue,NMain,0000004,,3000,,,,3000
00004,44_1,44_1,23880,,4000299,21,21,35,,Northbound,Wkdy,Revenue,NMain,0000004,,3000,,,,3000
00004,44_1,44_1,24300,,4001022,21,21,35,,Northbound,Wkdy,Revenue,NMain,0000004,,3000,,,,3000
00004,44_1,44_1,24300,,4001022,21,21,35,,Northbound,Wkdy,Revenue,NMain,0000004,,3000,,,,3000
00004,44_1,44_1,24420,,4000340,21,21,35,,Northbound,Wkdy,Revenue,NMain,0000004,,3000,,,,3000
00004,44_1,44_1,24840,,4000715,21,21,35,,Northbound,Wkdy,Revenue,NMain,0000004,,3000,,,,3000
00004,44_1,44_1,25980,,6000930,21,21,35,,Northbound,Wkdy,Revenue,NMain,0000004,,3000,,,,3000
00004,44_1,44_1,26940,,6000930,22,22,35,,Southbound,Wkdy,Revenue,SMain,0000004,,3000,,,,3000
00004,44_1,44_1,27600,,4000716,22,22,35,,Southbound,Wkdy,Revenue,SMain,0000004,,3000,,,,3000
00004,44_1,44_1,27960,,4000360,22,22,35,,Southbound,Wkdy,Revenue,SMain,0000004,,3000,,,,3000
00004,44_1,44_1,28200,,4001018,22,22,35,,Southbound,Wkdy,Revenue,SMain,0000004,,3000,,,,3000
00004,44_1,44_1,28200,,4001018,22,22,35,,Southbound,Wkdy,Revenue,SMain,0000004,,3000,,,,3000
00004,44_1,44_1,28620,,4000301,22,22,35,,Southbound,Wkdy,Revenue,SMain,0000004,,3000,,,,3000
00004,44_1,44_1,29580,,4000576,22,22,35,,Southbound,Wkdy,Revenue,SMain,0000004,,3000,,,,3000
00004,44_1,44_1,29940,,4000142,22,22,35,,Southbound,Wkdy,Revenue,SMain,0000004,,3000,,,,3000
00004,44_1,44_1,30480,,4000822,22,22,35,,Southbound,Wkdy,Revenue,SMain,0000004,,3000,,,,3000
00004,44_1,44_1,31740,,4000822,23,23,35,,Northbound,Wkdy,Revenue,NMain,0000004,,3000,,,,3000
00004,44_1,44_1,32220,,4000063,23,23,35,,Northbound,Wkdy,Revenue,NMain,0000004,,3000,,,,3000
00004,44_1,44_1,32640,,4000576,23,23,35,,Northbound,Wkdy,Revenue,NMain,0000004,,3000,,,,3000
00004,44_1,44_1,33480,,4000299,23,23,35,,Northbound,Wkdy,Revenue,NMain,0000004,,3000,,,,3000
00004,44_1,44_1,33900,,4001022,23,23,35,,Northbound,Wkdy,Revenue,NMain,0000004,,3000,,,,3000
00004,44_1,44_1,33900,,4001022,23,23,35,,Northbound,Wkdy,Revenue,NMain,0000004,,3000,,,,3000
00004,44_1,44_1,34020,,4000340,23,23,35,,Northbound,Wkdy,Revenue,NMain,0000004,,3000,,,,3000
00004,44_1,44_1,34440,,4000715,23,23,35,,Northbound,Wkdy,Revenue,NMain,0000004,,3000,,,,3000
00004,44_1,44_1,35160,,6000930,23,23,35,,Northbound,Wkdy,Revenue,NMain,0000004,,3000,,,,3000
00004,44_1,44_1,36540,,6000930,24,24,35,,Southbound,Wkdy,Revenue,SMain,0000004,,3000,,,,3000
00004,44_1,44_1,37200,,4000716,24,24,35,,Southbound,Wkdy,Revenue,SMain,0000004,,3000,,,,3000
