record type,bus stop id,bus stop short name,bus stop long name,longitude,latitude
90,536,SN536,EB Charleston after Valley View,-115.191553,36.158898
90,538,SN538,EB Charleston after Warbonnet,-115.266414,36.158981
90,540,SN540,EB Charleston after Westwind,-115.218688,36.159062
90,542,SN542,WB Charleston after Shadow,-115.166251,36.159018
90,543,SN543,WB Charleston before Lamont,-115.069275,36.159137
90,544,SN544,EB Cheyenne before Pecos,-115.10058,36.21754
90,546,SN546,EB Cheyenne at Cheyenne Air,-115.201239,36.217237
90,547,SN547,EB Cheyenne after Allen,-115.187698,36.217403
90,548,SN548,WB Cheyenne after Allen,-115.189435,36.217603
90,549,SN549,WB Cheyenne after Berg,-115.113427,36.217767
90,550,SN550,EB Cheyenne after Berg,-115.112408,36.217536
90,551,SN551,EB Cheyenne after Bucyrus Erie,-115.130009,36.217602
90,552,SN552,WB Cheyenne after Buffalo,-115.26118,36.218407
90,553,SN553,EB Cheyenne after California,-115.194525,36.21732
90,554,SN554,WB Cheyenne after Cimarron,-115.265577,36.218507
90,555,SN555,EB Cheyenne before 5th,-115.136413,36.217687
90,556,SN556,EB Cheyenne after Civic Center,-115.11931,36.217522
90,557,SN557,EB Cheyenne after Clayton,-115.169576,36.217552
90,558,SN558,WB Cheyenne after Clayton,-115.170882,36.217764
90,559,SN559,EB Cheyenne after Commerce,-115.142567,36.217847
90,560,SN560,WB Cheyenne after Commerce,-115.143649,36.218117
90,561,SN561,EB Cheyenne after Decatur,-115.20682,36.21718
90,562,SN562,WB Cheyenne after Decatur,-115.20841,36.217377
90,563,SN563,WB Cheyenne before Marion,-115.070699,36.217886
90,564,SN564,EB Cheyenne after Abels,-115.075196,36.217614
90,565,SN565,WB Cheyenne after Englestad,-115.148258,36.21801
90,566,SN566,EB Cheyenne at Englestad,-115.146801,36.217774
90,567,SN567,EB Cheyenne after Jones,-115.224886,36.216684
90,568,SN568,WB Cheyenne after Jones,-115.227255,36.217073
90,569,SN569,EB Cheyenne after Lamb,-115.079441,36.217599
90,570,SN570,WB Cheyenne after Lamb,-115.080747,36.217859
90,571,SN571,EB Cheyenne after Lamont,-115.066074,36.21796
90,572,SN572,WB Cheyenne after Lamont,-115.067303,36.218097
90,573,SN573,EB Cheyenne after Las Vegas,-115.092598,36.21756
90,574,SN574,WB Cheyenne after Losee,-115.129025,36.217816
90,575,SN575,EB Cheyenne after Martin L King,-115.16062,36.217583
90,576,SN576,WB Cheyenne after Martin L King,-115.162727,36.217839
90,577,SN577,WB Cheyenne after Mary Dee,-115.11824,36.217766
90,578,SN578,WB Cheyenne after Maverick,-115.230575,36.217349
90,579,SN579,EB Cheyenne after Michael,-115.216273,36.216896
90,580,SN580,WB Cheyenne after Michael,-115.217412,36.217083
90,581,SN581,WB Cheyenne after Miramar,-115.22179,36.217068
90,582,SN582,EB Cheyenne after 5th,-115.133487,36.217619
90,583,SN583,WB Cheyenne after 5th,-115.134599,36.217899
90,585,SN585,WB Cheyenne after Nellis,-115.062955,36.218389
90,586,SN586,EB Cheyenne after Pecos,-115.097855,36.21754
90,587,SN587,WB Cheyenne after Pecos,-115.099191,36.217761
90,588,SN588,EB Cheyenne after Rainbow,-115.241509,36.21803
90,589,SN589,WB Cheyenne after Rainbow,-115.243038,36.21836
90,590,SN590,EB Cheyenne after Ramrod,-115.236069,36.217567
90,591,SN591,EB Cheyenne after Rancho,-115.210977,36.217047
90,592,SN592,WB Cheyenne after Rancho,-115.21366,36.217197
90,593,SN593,WB Cheyenne after Sandy,-115.094366,36.217782
90,594,SN594,WB Cheyenne before Serene,-115.239636,36.218104
90,595,SN595,EB Cheyenne after Simmons,-115.178514,36.217448
90,596,SN596,WB Cheyenne after Simmons,-115.18004,36.21774
90,597,SN597,WB Cheyenne after Soaring Gulls,-115.274772,36.218656
90,598,SN598,EB Cheyenne after Tenaya,-115.250614,36.218069
90,599,SN599,WB Cheyenne after Tenaya,-115.252099,36.218387
90,600,SN600,EB Cheyenne after Terry,-115.220869,36.216799
90,601,SN601,EB Cheyenne after Torrey Pines,-115.233379,36.21735
90,602,SN602,WB Cheyenne after Torrey Pines,-115.234819,36.217747
90,603,SN603,EB Cheyenne after Trade,-115.154082,36.217689
90,604,SN604,WB Cheyenne after Trade,-115.154983,36.217898
90,605,SN605,EB Cheyenne after Van Der Meer,-115.106618,36.217528
90,606,SN606,WB Cheyenne before Campus,-115.104139,36.2178
90,607,SN607,WB Cheyenne before Crawford,-115.109598,36.217757
90,608,SN608,EB Cheyenne after Walnut,-115.08848,36.21759
90,609,SN609,WB Cheyenne after Walnut,-115.09012,36.217848
90,611,SN611,EB Cheyenne after Whispering Willow,-115.228537,36.216959
90,618,SN618,SB Civic Center after Basswood,-115.121108,36.216603
90,619,SN619,SB Civic Center after Brooks,-115.121063,36.213701
90,620,SN620,NB Civic Center after Brooks,-115.12081,36.214436
90,623,SN623,NB Civic Center after Cartier,-115.120914,36.207009
90,624,SN624,SB Civic Center before Putnam,-115.121164,36.206097
90,627,SN627,NB Civic Center after Evans,-115.120758,36.210899
90,628,SN628,SB Civic Center after Evans,-115.121242,36.210036
90,631,SN631,SB Civic Center after Las Vegas,-115.119914,36.201363
90,632,SN632,NB Civic Center after Lake Mead,-115.116351,36.196504
90,633,SN633,SB Civic Center after Lake Mead,-115.116408,36.194814
90,635,SN635,NB Civic Center after McDaniel,-115.119211,36.201036
90,636,SN636,SB Civic Center before Lake Mead,-115.118513,36.198404
90,637,SN637,NB Civic Center after Owens,-115.116019,36.189073
90,639,SN639,NB Civic Center after Tonopah,-115.116101,36.192527
90,640,SN640,SB Civic Center after Tonopah,-115.116354,36.191719
90,653,SN653,SB Commerce after Duchess,-115.142938,36.20651
90,655,SN655,NB Campus at CSN Cheyenne Campus,-115.106982,36.218619
90,667,SN667,EB Craig after Allen,-115.188701,36.239253
90,668,SN668,EB Craig after Bradley,-115.2161,36.238719
90,669,SN669,EB Craig after Calimesa,-115.07182,36.240239
90,670,SN670,EB Craig after Ferrell,-115.184171,36.239291
90,671,SN671,EB Craig after Ivory,-115.218897,36.238759
90,672,SN672,EB Craig after Jones,-115.224937,36.238848
90,674,SN674,EB Craig after Lamb,-115.079038,36.240308
90,675,SN675,WB Craig after Lamont,-115.066862,36.240581
90,676,SN676,EB Craig after Lamont,-115.065255,36.240324
90,677,SN677,EB Craig before Las Vegas,-115.056551,36.240424
90,679,SN679,EB Craig after Nellis,-115.059716,36.240357
90,680,SN680,WB Craig after Puebla,-115.071344,36.240531
90,682,SN682,EB Craig after San Mateo,-115.202579,36.238789
90,683,SN683,EB Craig after Thom,-115.210311,36.23864
90,684,SN684,WB Craig after Nellis,-115.063253,36.240618
90,685,SN685,EB Craig after Valley,-115.197507,36.238983
90,688,SN688,NB Decatur after Alexander,-115.207321,36.232485
90,690,SN690,NB Decatur before Alpine,-115.205705,36.159682
90,691,SN691,NB Decatur after Alta,-115.205845,36.167464
90,692,SN692,SB Decatur after Alta,-115.206214,36.165556
90,693,SN693,NB Decatur after Bonanza,-115.205883,36.177694
90,694,SN694,SB Decatur after Bonanza,-115.206213,36.177067
90,695,SN695,SB Decatur after Carmen,-115.206286,36.1826
90,696,SN696,NB Decatur after Casa Bonita,-115.207379,36.227063
90,697,SN697,SB Decatur after Charleston,-115.206034,36.158573
90,698,SN698,NB Decatur after Cheyenne,-115.207344,36.217872
90,699,SN699,NB Decatur before Concord Village,-115.205881,36.192602
90,701,SN701,NB Decatur after Desert Inn,-115.20791,36.130532
90,702,SN702,SB Decatur after Desert Inn,-115.20826,36.129394
90,703,SN703,SB Decatur after Lake Mead,-115.206217,36.191967
90,704,SN704,SB Decatur after Doe,-115.208152,36.153076
90,705,SN705,SB Decatur before Edna,-115.208289,36.138093
90,706,SN706,NB Decatur before Eldora,-115.20796,36.141842
90,707,SN707,SB Decatur after Eldora,-115.208294,36.140385
90,709,SN709,NB Decatur after Eugene,-115.205709,36.199684
90,710,SN710,SB Decatur after Eugene,-115.206073,36.198499
90,711,SN711,SB Decatur after Evergreen,-115.206115,36.162578
90,712,SN712,NB Decatur after Faircenter,-115.205773,36.157983
90,713,SN713,NB Decatur after Flamingo,-115.207908,36.115979
90,714,SN714,SB Decatur after Flamingo,-115.208261,36.1144
90,715,SN715,NB Decatur before Alta,-115.205837,36.165002
90,718,SN718,NB Decatur after Lake Mead,-115.205799,36.195986
90,719,SN719,SB Decatur after Lake Mead,-115.206163,36.194717
90,720,SN720,SB Decatur after Meadows,-115.206207,36.169212
90,722,SN722,NB Decatur before Oakey,-115.207985,36.148482
90,723,SN723,SB Decatur after OBannion,-115.208359,36.147679
90,724,SN724,NB Decatur after Oakey,-115.207801,36.152826
90,725,SN725,SB Decatur after Oakey,-115.208336,36.151265
90,726,SN726,SB Decatur after Palmyra,-115.208261,36.133142
90,727,SN727,NB Decatur after Pennwood,-115.207941,36.137769
90,728,SN728,NB Decatur after Rancho,-115.207717,36.213606
90,730,SN730,NB Decatur before Gowan,-115.207403,36.223818
90,731,SN731,NB Decatur before Rancho,-115.20551,36.206067
90,734,SN734,SB Decatur after Rochelle,-115.208207,36.11074
90,735,SN735,NB Decatur before Harmon,-115.207827,36.10764
90,736,SN736,SB Decatur after Royal Ridge,-115.208179,36.105853
90,737,SN737,NB Decatur after Sahara,-115.207951,36.145784
90,738,SN738,SB Decatur after Sahara,-115.208319,36.143956
90,739,SN739,NB Decatur after San Miguel,-115.207413,36.235758
90,740,SN740,NB Decatur after Sirius,-115.20793,36.134425
90,741,SN741,NB Decatur after Smoke Ranch,-115.205527,36.20349
90,742,SN742,SB Decatur after Smoke Ranch,-115.20598,36.202196
90,743,SN743,NB Decatur after Spring Mountain,-115.207954,36.126726
90,744,SN744,SB Decatur after Spring Mountain,-115.208306,36.125382
90,745,SN745,NB Decatur across from Supai,-115.207954,36.119131
90,747,SN747,NB Decatur after Tropicana,-115.207778,36.101936
90,748,SN748,NB Decatur after Twain,-115.208001,36.122985
90,749,SN749,SB Decatur after Twain,-115.20834,36.121905
90,750,SN750,NB Decatur after University,-115.207864,36.110464
90,751,SN751,NB Decatur after Vegas,-115.205967,36.188635
90,752,SN752,SB Decatur after Vegas,-115.206351,36.187262
90,753,SN753,SB Decatur after Via San Andros,-115.208263,36.117274
90,754,SN754,NB Decatur after Washington,-115.205934,36.181462
90,755,SN755,SB Decatur after Washington,-115.206264,36.180144
90,756,SN756,NB Decatur after Westmoreland,-115.205983,36.185404
90,763,SN763,EB Desert Inn before Backstage,-115.087942,36.129501
90,764,SN764,EB Desert Inn after Yuma,-115.122506,36.129772
90,765,SN765,NB Lamb after Boulder,-115.083136,36.130644
90,766,SN766,WB Desert Inn after Boulder,-115.085164,36.129757
90,767,SN767,WB Desert Inn after Brentwood,-115.096961,36.129771
90,768,SN768,WB Desert Inn after Burnham,-115.122498,36.129952
90,772,SN772,WB Desert Inn after Crystal Water,-115.289704,36.129811
90,775,SN775,EB Desert Inn after Eastern,-115.117891,36.12973
90,776,SN776,WB Desert Inn after Eastern,-115.119356,36.129952
90,777,SN777,WB Desert Inn after Hidden Canyon,-115.293392,36.129879
90,778,SN778,WB Desert Inn after Joe W Brown,-115.146624,36.129789
90,779,SN779,WB Desert Inn after La Canada,-115.132602,36.129921
90,782,SN782,EB Desert Inn after Mojave,-115.104549,36.129637
90,783,SN783,WB Desert Inn after Mojave,-115.105907,36.129863
90,784,SN784,WB Desert Inn after Mariner Bay,-115.284794,36.129743
90,786,SN786,EB Desert Inn after Pawnee,-115.127338,36.129789
90,788,SN788,EB Desert Inn after Pecos,-115.100498,36.129601
90,789,SN789,WB Desert Inn after Pecos,-115.101815,36.129831
90,790,SN790,WB Desert Inn after McLeod,-115.110985,36.129901
90,791,SN791,EB Desrt Inn after Pecos McLeod Int,-115.109214,36.129666
90,792,SN792,EB Desert Inn after Sandhill,-115.091344,36.129497
